asin,Title,Rating,NumberOfReviews,Price,AvailableSizes,AvailableColors,BulletPoints,SellerRank,dimensions
,,,,,,,,,
B07T159C6R,Champion Kids Clothes Sweatshirts Youth Heritage Fleece Pull On Hoody Sweatshirt with Hood,4.7,"21,363 ratings",,"Small, Medium, Large, X-Large","Black Paint Splatter, Electric Blue, Heritage Black, Heritage Granite Heather, Heritage Oxford Heather, Navy, Oxford Heather Paint Splatter, Sweet Green/Bozetoo Blue, Sweet Green/Bozetto Blue, Swiss Blue, Team Gold, White Multi Aop, White Paint Splatter, Camo Desert Stone, Cargo Olive, Cargo Olive Camo, Desert Stone, Heritage Pink Candy, Heritage Scarlet, Natural, Oxford Heather Aop, Oxford Heather Full Aop, Oxford Heather/Scarlet, Scarlet, White, White Aop, Wildflower Pale Blue, Black Aop, Black/Iris Purple Crest, Bozetto Blue/White Script, Dark Blue, Kelly Green, Maroon, Oxford Heather/Black Crest, Scarlet/Black Dye, Spicy Orange Camo, White/Navy Slant, Camo Concrete, Camo Navy, Crayon Orange/Navy Block, Dark Blue/Blue Seagrass, Navy Script, Navy/Poppy Orange Crest, Oxford Heather Camo, Oxford Heather/Granite Heather Slant, Spicy Orange, Tempo Teal/Dark Blue, White/Bozetto Blue, White/Navy Block",,,
B07HBW9HSY,HAXICO Unisex Kids Solid Cotton Thin Pullover Sweatshirt T-Shirt Toddler Baby Crewneck Long Sleeve Tshirts Tops Blouse,4.5,"1,433 ratings",,"12 Months, 1T, 2T, 3T, 4T, 5T, 6 Years, 7 Years, 8 Years","Light Blue, Orange, Royal Blue, Yellow, 2 Pack(black + Royal Blue), 2 Pack(black +Red), 2 Pack(black+ White), 2 Pack(gray+ White), 2 Pack(green+ White), 2 Pack(navy + Gray), 2 Pack(navy + Yellow), 2 Pack(orange+gray), 2 Pack(pink+ White), 2 Pack(sky Blue+ Green), 2 Pack(sky Blue+ Pink), 2 Pack(sky Blue+ White), 2 Pack(sky Blue+yellow), 2 Pack(yellow+ Orange), Gray, Green, Navy Blue, Pink, Purple, Red, White, Black",,,<span>No</span>
B07SNGLXKQ,"Fruit of the Loom Boy's Fleece Sweatshirts, Hoodies, Sweatpants & Joggers",4.6,"10,620 ratings",,"X-Small, Small, Medium, Large, X-Large, XX-Large","Full Zip - Charcoal Heather, Full Zip - Charcoal Heather/Navy, Full Zip - Navy, Full Zip - Navy Stripe, Full Zip - Navy/Green, Full Zip - True Red, Pullover - Charcoal Heather, Pullover - Charcoal Heather/Navy, Pullover - Charcoal Heather/True Red, Pullover - Navy, Pullover - Navy/Charcoal, Pullover - Navy/Pacific Blue, Joggers - Charcoal Heather, Joggers - Navy, Joggers - Navy Stripe, Elastic Bottom - 12 Pack - Charcoal Heather, Elastic Bottom - 12 Pack - Navy, Elastic Bottom - Charcoal Heather, Elastic Bottom - Navy, Elastic Bottom - Navy Stripe, Open Bottom - Charcoal Heather, Open Bottom - Navy, Open Bottom - Navy Stripe, Sweatshirt - 12 Pack - Charcoal Heather, Sweatshirt - 12 Pack - Navy, Sweatshirt - Charcoal Heather, Sweatshirt - Charcoal Heather/Navy, Sweatshirt - Navy, Sweatshirt - Navy/Green, Sweatshirt - Pacific Blue, Sweatshirt - True Red, Vest - Charcoal Heather, Vest - Charcoal Heather/Navy, Vest - Navy, Vest - Navy/Green, Vest - Pacific Blue, Vest - True Red","60% Cotton, 40% Polyester, Imported, Pull On closure, Machine Wash, Super soft, mid-weight fleece to transition through the seasons with your child, Contrast color blocked sleeves and design details provide on trend styling, Rib cuffs and waistband are made with spandex for stretch and recovery when tugged on, Two-piece hood with striped jersey lining for a fun surprise, Tag free for comfort",,
B08SCQX6YR,Champion Heritage Kids Cotton Sweatshirt French Terry Lightweight Cotton Hoodie,4.4,"1,243 ratings",,"Small, Medium, Large, X-Large","Black Zip Up, Bozetto Blue Zip Up, Granite Heather Zip Up, Navy Zip Up, Oxford Heather Zip Up, Scarlet Photoreal, White Photoreal, White Zip Up, Bozetto Blue Photoreal, Ecology Green Zip Up, Oxford Heather Photoreal, Team Gold Photoreal, White Multi Color, Oxford Heather Multi Color",,,
B01DWNIL6G,French Toast Boys' V-Neck Vest,4.6,"1,187 ratings",,"2T, 3T, 4T, Small, Medium, Large, X-Large, 4, 4-5, 5, 6, 6-7, 7, 8, 10, 10-12, 10-12 Husky, 12, 14, 14-16, 14-16 Husky, 18-20, 18-20 Husky","Navy, Black, Burgundy",,,<span>12.01 x 8.5 x 0.83 inches; 3.21 Ounces</span>
B01DWNI30K,French Toast Boys' Anti-Pill V-Neck Cardigan Sweater (Standard & Husky),4.7,"2,578 ratings",,"2T, 3T, 4T, Large, 4-5, 6-7, 8, 10-12, 10-12 Husky, 14-16, 18-20, 18-20 Husky","Navy, Burgundy, Black, Charcoal Heather Gray, Hunter Green, Red, Hunter",,,<span>12 x 9.6 x 1.5 inches; 8.8 Ounces</span>
B09BFMFCWP,Infant Baby Boys Cardigan Crochet Sweater Toddler Cable Knit Thick Pullover Sweatshirt Button up Jacket Outwear,4.7,85 ratings,,"6 Months, 12 Months, 18 Months, 24 Months, 3T, 4T, 5T","Oatmeal, Beige, Khaki, Navy Blue, Royal Blue, White, Sky Blue",,,
B07M8J113R,"Gildan Youth Hooded Sweatshirt, Style G18500B",4.6,"21,922 ratings",,"X-Small, Small, Medium, Large, X-Large","Carolina Blue, Charcoal, Forest, Gold, Graphite, Heliconia, Irish Green, Navy, Red, Royal, Sport Grey, White, Cardinal Red, Light Pink, Maroon, Purple, Black, Dark Heather, Cardinal","%50 Cotton,%50 Polyester",,<span>8 Ounces</span>
B08B3J813D,Boys Sweatshirts Elephant Pullover T-Shirts Toddler Cotton Cute Tops Tee Long Sleeve Outdoor Outfit,4.7,"2,171 ratings",,"2T, 3T, 4T, 5T, 6 Years, 7 Years","1# Black, 13# Animal Gray, 18# Elephant/Excavator, 19# Elephant/Dinosaur, 2# Navy Excavator, 3# Navy, 5# Dinosaur, 9# Blue Shark, Green, 12# Tractor Gray, 16# Dinosaur Heart, 6# Green Dinosaur, 7# Gray Dinosaur",,,<span>No</span>
B09FPS9T5W,EUDOLAH Boys Shark Ape Bape Hoodie Camo Print Cotton Sweater Casual Loose Zip Hoodie Jacket For Girls,3.1,110 ratings,,"Small, Medium, Large, X-Large, XX-Large, 3X-Large, 4X-Large, 5X-Large","1 Black-a, 1 Purple-a, 1 Red-a, A-pink, Black Green-a, Black2-a, Blue-puzzle-a, Red Blue-a","100% Polyester, ATTENTION :We are Asian size, please choose your 1-2 size bigger than your normal size or you can refer to our description below and size chart in our detailed drawings., Boy's popular casual style hoodies, loose Hip-hop pattern print sweatshirt with high quality cotton, polyester fabric make it comfortable and flexible, Zipper closure, Design: Novel shark mouth design, originated from Japan. Shark Camo Screen Printing + Full Zipper., We will dispatch the item in about 1-2 days and the shipping normally takes 10-15 business days. If you need other styles, check our store by clicking the Brand Name of Eudolah on the up left side of the Product Title.",,<span>3 x 2 x 1 inches; 7.05 Ounces</span>
B07VX64YJ4,Makkrom Toddler Boys Sweater Knit Cable Turtleneck Winter Sweaters Outfit for Baby Boy Girls,4.6,"1,782 ratings",,"12-18 Months, 18-24 Months, 2-3T, 3-4T, 4-6 Years, 6-8 Years","02 Army Green, 02 Blue, 02 Brown, 02 Light Grey, 02 Red, Army Green, Beige, Blue, Brown, Navy, Pink, Red, 02 Beige, 02 Navy, Mint Green",,,<span>16.63 x 12.38 x 1.59 inches; 8.25 Ounces</span>
B09XS1LWYV,Lands' End School Uniform Boys Cotton Modal Fine Gauge V-Neck Sweater,3.9,11 ratings,,"Small, 4, 4-5, 5-6, 7, 8, 10, 14-16, 18-20","Evergreen 21, Black, Coal Heather, Pewter Heather, Red, Classic Navy",,,<span>11 x 8 x 1 inches; 6.24 Ounces</span>
B07KD5ZCWX,NIKE Sportswear Boys' Club Pullover Hoodie,4.3,"3,301 ratings",,"X-Small, Small, Medium, Large, X-Large, 2, 3, 4, 5, 6, 7","Midnight Navy/White, Black/White, University Red/White, Carbon Heather/White, Game Royal, Cedar/White, Charcoal Heather/White, Court Purple/White, Juniper Fog/White, Medium Olive/White, Mountain Blue/White, Sail/Heather/Black, Olive Camo, Grey/Black, Mint Green, Tropical Twist/White, Green, Tan, Black, Black/Charcoal Heather/White, Carbon Heather/Carbon Heather/White, Lime, Sky Multi, Mystic Dates/White, Canyon Purple/White, Game Royal/White, Vast Grey, Black/Kyrie Irving, Green/Blue/White, Tropical Twist/White Aop, Orange",,,
B08HS5LRWR,"Kids Toddler Baby Boy Girl Fall Winter Outfits Rainbow Pullover Sweatshirt Long Sleeve T-Shirt Cotton Sweater Tops (A-Brown, 5-6Years)",5.0,4 ratings,,,,,,<span>12.6 x 11.9 x 0.42 inches; 5.93 Ounces</span>
B08TXPP8J3,Amazon Essentials Boys and Toddlers' Pullover Crewneck Sweater,4.5,249 ratings,,"2T, 3T, 4T, X-Small, Small, Medium, Large, X-Large, XX-Large","Charcoal Heather, Stripe, Light Brown, Color Block, Navy, Sun, Polar Bear, Red, Color Block","100% Cotton, Imported, Machine Wash, This sweater is an ideal layering piece for daily wear or special occasions, Everyday made better: we listen to customer feedback and fine-tune every detail to ensure quality, fit, and comfort",,<span>13.5 x 8.06 x 1 inches; 8.01 Ounces</span>
B071WWYQNG,"Hanes Men's Sweatshirt, EcoSmart Fleece Hoodie, Cotton-Blend Fleece Hooded Sweatshirt, Plush Fleece Pullover Hoodie",4.5,"148,571 ratings",,"Small, Medium, Large, X-Large, XX-Large, 3X-Large, 4X-Large, 5X-Large","Ash, Cardinal, Gold, Kelly Green, Orange, Pale Pink, Purple, Safety Orange, White, Black, Charcoal Heather, Deep Forest, Deep Red, Deep Royal, Light Blue, Light Steel, Navy, Denim Blue, Lime, Maroon, Safety Green, Smoke Gray, Yellow","50% cotton/50% polyester, with up to 5% polyester created from recycled plastic, Imported, Pull On closure, Machine Wash, Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard., Machine wash it again and again without hesitation because it's pill-resistant, Made with up to 5% polyester created from recycled plastic bottles., Dyed-to-match drawcord.",,<span>No</span>
B09SZ4PZP7,BOBOYOYO Boys Sweater Vest Unisex Cable Knit Cotton Toddler Uniform Vest for Little Big Teenage Boy Girls Childrens Kids,4.6,139 ratings,,"18-24 Months, 3-4T, 5-6 Years, 7-8 Years, 9-10 Years, 11-12 Years, 13-14 Years","Burgundy, Classic Black, Classic Grey, Classic Navy, Classic Red, Classic White, Hunter Green, Light Blue, Black, Blue, Gray, Navy, Red, White",,,<span>14.4 x 10.9 x 0.9 inches; 8.01 Ounces</span>
B081YBPWYP,YOUNGER STAR Baby Girl Boy Knit Sweater Kids Blouse Pullover Long Sleeve Sweatshirt Winter Clothes for Infant Toddler,4.7,189 ratings,,"12-18 Months, 18-24 Months, 2-3T, 3-4T, 4-5T, 6-7 T","Black, Gray, White, Blue Leopard",,,
B08BRGQQCM,Boy Dinosaur Sweatshirts Toddler Long Sleeve Cotton Space Pullover Cartoon T-Shirts Sport Top Tee For Kids 2-7T,4.7,886 ratings,,"2T, 3T, 4T, 5T, 6 Years, 7 Years","Car, Dinosaurs3, Many Dinosaurs, Space, Zoo, Dinosaur4, Dinosaurs2, Excavator, Traffic, Dinosaurs1, Starry Sky, Bus, Crocodile",,,<span>10.63 x 7.56 x 1.02 inches; 5.01 Ounces</span>
B07YW7H6MF,BTGIXSF Little Boys Cotton Crewneck Cartoon Long Sleeve Pullover Sweatshirts Tops,4.6,764 ratings,,"2T, 3T, 4T, 5T, 6 Years, 7 Years","1-excavator, 1-gray Dinosaur, 1-rainbow, 1-truck, 2-dinosaur, 2-excavator, 3-dinosaur, Black, Black-1, Blue, Crocodile, Dinosaur-1, Dinosaur-2, Dinosaur-gray, Gray Cars, Gray Dinosaur, Navy Blue, 1-stripes-dinosaur, Blue Dinosaur, Bus, Dinosaur, Royal Blue, Blue Car, Truck, Dark Gray, Dinosaur-3, Christmas, Elephant, Light Grey",,,<span>9 x 6.9 x 1 inches; 4.8 Ounces</span>
B07BJ4L5VF,Hope & Henry Boys' Long Sleeve Shawl Collar Sweater,4.7,"1,033 ratings",,"3-6 Months, 6-12 Months, 12-18 Months, 18-24 Months, XX-Small, X-Small, Small, Medium, Large, X-Large","Ivory Stripe, Navy Stripe, Red Buffalo Check With Toggle, Gray and Black Fairisle With Toggle, Navy and Gray Rugby, Grey Heather With Navy, Natural and Black Breton Stripe, Gray Heather, Gray and Wine Chest Stripe With Toggle, Ivory White, Light Taupe Heather Stripe",,,
B09FTBMGMN,Amazon Essentials Boys' Uniform Cotton Cardigan Sweaters,4.1,23 ratings,,"2T, 3T, 4T, X-Small, Small, Medium, Large, X-Large, XX-Large","Black, Charcoal Heather, Navy",,,<span>14.61 x 9.13 x 1.42 inches; 9.88 Ounces</span>
B08JKGD4V5,Azalquat Toddler Baby Boy Knit Sweater Pullover Cotton Cartoon Sweatshirt,4.8,55 ratings,,"18-24 Months, 2-3T, 3T, 3-4T, 4T, 4-5T, 5T, 5-6 Years, 6 Years, 6-7 Years","Cute Puppy/Navy Blue (2 Layer Thicknes), Cute Puppy/Red (2 Layer Thicknes), Dark Blue&rainbow (2 Layer Thicknes), Tiger & Crocodile (2 Layer Thicknes), Yellow & Fox (2 Layer Thicknes), Blue & Car (2 Layer Thicknes), Dark Blue & Dinosaur (2 Layer Thicknes), Grey & Owl (2 Layer Thicknes), Grey & Lion (2 Layer Thicknes), Light Blue & Bear (2 Layer Thicknes)","cotton,polyester, Imported, Pull On closure, Machine Wash, Material:80% viscose(man-made cotton) and 20% polyester，ultra soft and comfortable, breathable,Safe and harmless.keeps him/her warm in spring, fall and winter. no harsh chemical, eco-friendly to baby's tender skin., Design: These classic round neck knitted sweaters use vivid and cute cartoon animal patterns and bright colors. It can be matched with different styles of clothes and shirts. Threaded cuffs and hem， windproof, warm and durable., Occasion: Birthday party, vacation, photo taking, Halloween, Christmas, daily wear at home or school. It is also the perfect gift choice., Sizes for 18-24 months , 3T , 4T , 5T , 6 years 7 years kids., Machine washable,we recommend using wash bag to protect the knit sweater when machine washing .",,<span>10.63 x 7.87 x 0.79 inches; 7.05 Ounces</span>
B07NYBKH3P,Amazon Essentials Men's Full-Zip Cotton Sweater,4.4,"5,208 ratings",,"X-Small, Small, Medium, Large, X-Large, XX-Large","Black, Blue Heather, Charcoal Heather, Light Grey Heather, Navy, Brown Heather, Burgundy, Camel Heather, Navy/White, Stripe, Rust","100% Cotton, Imported, Machine Wash, This cotton sweater is perfect on its own or as a layer under a blazer or jacket, Full-zip front, with side pockets and ribbing at the cuffs and hem, Everyday made better: we listen to customer feedback and fine-tune every detail to ensure quality, fit, and comfort",,<span>15.12 x 8.94 x 3.15 inches; 1.06 Pounds</span>
B08K48BX6P,Ctskyte Toddler Unisex Kids Fleece Long Sleeve Pullover Sweatshirt Stripes Kids Crew-Neck Sweater,4.7,26 ratings,,"2T, 3T, 4T, 5T, 6 Years, 7 Years","Orange Grey Stripes, Blue Blue Brown, Blue Pink, Green Grey, Purple Fuchsia, Purple Grey","95% Polyester, 5% Spandex, Imported, Pull On closure, Machine Wash, [HIGH-QUALITY MATERIAL] The outer layer of the sweater is knitted fabric, and the inner layer is fleece fabric, fine workmanship, soft, skin-friendly, warm. We use materials without pollution and toxic, in order to produce high-quality items., [CLASSIC DESIGN] This sweater is wind resistant and warm, with the classic long sleeve & elastic cuff & round neck design pullover. Double-layer fabrics technology, more fashionable. Colorful stripes on the sweatshirts are charming & attractive., [SWEET & SECURE] Look at the sweet fall/winter/spring outfit, wearing the pretty knit sweater and your child will look brilliant and smart. More importantly, we offer environmentally friendly printing & dyeing technology to ensure the safety of it., [SIZE INFORMATION] Fit for toddler kids child baby, available in sizes of 3-4T/ 4-5T/ 5-6T/ 6-7T. Please allow 1-3 cm error due to manual measurement. A lovely kid's sweater/blouse/outerwear/tops/outfit/sweatshirt suitable for spring/autumn/winter., [PERFECT KIDS GIFT] Suitable for the Thanksgiving Day, Halloween, Christmas, Party, Wedding, Church, Birthday gift. Buy an all-matching knit pullover you will get more fun & new look & fashionable style. A fleece inside sweater, warm in cold days.",,
